block,model,variant,concurrency,repetition,source,metric,value,statistic,unit
8,27B,pr2_dflash,32,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c32,interactivity,121.24907482361522,derived_p90,tokens/s/user
8,27B,pr2_dflash,32,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c32,output_token_throughput,4230.154353200859,avg,tokens/s
8,27B,pr2_dflash,32,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c32,output_token_throughput,4492.64553235342,avg,tokens/s
8,27B,pr2_dflash,32,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c32,output_token_throughput,4202.754355664239,avg,tokens/s
8,27B,pr2_dflash,32,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c32,time_to_first_token,261.8670545,p99,ms
8,27B,pr2_dflash,32,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c32,time_to_first_token,260.73492334,p99,ms
8,27B,pr2_dflash,32,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c32,time_to_first_token,239.48870046,p99,ms
8,27B,sglang_baseline,1,1,b200-block8-20260922/27B/sglang_baseline/sglang_baseline/c1,inter_chunk_latency,10.768151099999995,p99,ms
8,27B,sglang_baseline,1,2,b200-repeats-20260922/rep2-block8/27B/sglang_baseline/sglang_baseline/c1,inter_chunk_latency,11.324297919999998,p99,ms
8,27B,sglang_baseline,1,3,b200-repeats-20260922/rep3-block8/27B/sglang_baseline/sglang_baseline/c1,inter_chunk_latency,10.66342958,p99,ms
8,27B,sglang_baseline,1,1,b200-block8-20260922/27B/sglang_baseline/sglang_baseline/c1,inter_token_latency,7.175664511372548,p90,ms
8,27B,sglang_baseline,1,2,b200-repeats-20260922/rep2-block8/27B/sglang_baseline/sglang_baseline/c1,inter_token_latency,7.3589662717647055,p90,ms
8,27B,sglang_baseline,1,3,b200-repeats-20260922/rep3-block8/27B/sglang_baseline/sglang_baseline/c1,inter_token_latency,7.415033145490196,p90,ms
8,27B,sglang_baseline,1,1,b200-block8-20260922/27B/sglang_baseline/sglang_baseline/c1,inter_token_latency,7.18224047717647,p99,ms
8,27B,sglang_baseline,1,2,b200-repeats-20260922/rep2-block8/27B/sglang_baseline/sglang_baseline/c1,inter_token_latency,7.376878201529411,p99,ms
8,27B,sglang_baseline,1,3,b200-repeats-20260922/rep3-block8/27B/sglang_baseline/sglang_baseline/c1,inter_token_latency,7.42579613372549,p99,ms
8,27B,sglang_baseline,1,1,b200-block8-20260922/27B/sglang_baseline/sglang_baseline/c1,interactivity,139.23231938247864,derived,tokens/s/user
8,27B,sglang_baseline,1,2,b200-repeats-20260922/rep2-block8/27B/sglang_baseline/sglang_baseline/c1,interactivity,135.55869741656775,derived,tokens/s/user
8,27B,sglang_baseline,1,3,b200-repeats-20260922/rep3-block8/27B/sglang_baseline/sglang_baseline/c1,interactivity,134.66569536676792,derived,tokens/s/user
8,27B,sglang_baseline,1,1,b200-block8-20260922/27B/sglang_baseline/sglang_baseline/c1,interactivity,139.3599155054034,derived_p90,tokens/s/user
8,27B,sglang_baseline,1,2,b200-repeats-20260922/rep2-block8/27B/sglang_baseline/sglang_baseline/c1,interactivity,135.8886510781896,derived_p90,tokens/s/user
8,27B,sglang_baseline,1,3,b200-repeats-20260922/rep3-block8/27B/sglang_baseline/sglang_baseline/c1,interactivity,134.86116385173509,derived_p90,tokens/s/user
8,27B,sglang_baseline,1,1,b200-block8-20260922/27B/sglang_baseline/sglang_baseline/c1,output_token_throughput,137.231957672055,avg,tokens/s
8,27B,sglang_baseline,1,2,b200-repeats-20260922/rep2-block8/27B/sglang_baseline/sglang_baseline/c1,output_token_throughput,133.8215400427824,avg,tokens/s
8,27B,sglang_baseline,1,3,b200-repeats-20260922/rep3-block8/27B/sglang_baseline/sglang_baseline/c1,output_token_throughput,132.93445776140646,avg,tokens/s
8,27B,sglang_baseline,1,1,b200-block8-20260922/27B/sglang_baseline/sglang_baseline/c1,time_to_first_token,42.28206404000001,p99,ms
8,27B,sglang_baseline,1,2,b200-repeats-20260922/rep2-block8/27B/sglang_baseline/sglang_baseline/c1,time_to_first_token,46.81092808000002,p99,ms
8,27B,sglang_baseline,1,3,b200-repeats-20260922/rep3-block8/27B/sglang_baseline/sglang_baseline/c1,time_to_first_token,40.45387519,p99,ms
8,27B,sglang_baseline,2,1,b200-block8-20260922/27B/sglang_baseline/sglang_baseline/c2,inter_chunk_latency,10.78884656,p99,ms
8,27B,sglang_baseline,2,2,b200-repeats-20260922/rep2-block8/27B/sglang_baseline/sglang_baseline/c2,inter_chunk_latency,13.496390830000012,p99,ms
8,27B,sglang_baseline,2,3,b200-repeats-20260922/rep3-block8/27B/sglang_baseline/sglang_baseline/c2,inter_chunk_latency,10.754783400000006,p99,ms
8,27B,sglang_baseline,2,1,b200-block8-20260922/27B/sglang_baseline/sglang_baseline/c2,inter_token_latency,7.348611845098039,p90,ms
8,27B,sglang_baseline,2,2,b200-repeats-20260922/rep2-block8/27B/sglang_baseline/sglang_baseline/c2,inter_token_latency,7.512175499607843,p90,ms
8,27B,sglang_baseline,2,3,b200-repeats-20260922/rep3-block8/27B/sglang_baseline/sglang_baseline/c2,inter_token_latency,7.4586881898039215,p90,ms
8,27B,sglang_baseline,2,1,b200-block8-20260922/27B/sglang_baseline/sglang_baseline/c2,inter_token_latency,7.35284879945098,p99,ms
8,27B,sglang_baseline,2,2,b200-repeats-20260922/rep2-block8/27B/sglang_baseline/sglang_baseline/c2,inter_token_latency,7.536412780470588,p99,ms
8,27B,sglang_baseline,2,3,b200-repeats-20260922/rep3-block8/27B/sglang_baseline/sglang_baseline/c2,inter_token_latency,7.463890616392157,p99,ms
8,27B,sglang_baseline,2,1,b200-block8-20260922/27B/sglang_baseline/sglang_baseline/c2,interactivity,136.00170862682063,derived,tokens/s/user
8,27B,sglang_baseline,2,2,b200-repeats-20260922/rep2-block8/27B/sglang_baseline/sglang_baseline/c2,interactivity,132.68912268066586,derived,tokens/s/user
8,27B,sglang_baseline,2,3,b200-repeats-20260922/rep3-block8/27B/sglang_baseline/sglang_baseline/c2,interactivity,133.97838357971182,derived,tokens/s/user
8,27B,sglang_baseline,2,1,b200-block8-20260922/27B/sglang_baseline/sglang_baseline/c2,interactivity,136.0801224883118,derived_p90,tokens/s/user
